=== JUNGLE.EXE segment 1 — 50 imported call sites
  seg2:a7e1  JUNGU01.12       MAKEFULLPATH
  seg2:a7f4  MMSYSTEM.1210    MMIOOPEN
  seg2:a80e  JUNGU01.12       MAKEFULLPATH
  seg2:a854  KERNEL.128       GETPRIVATEPROFILESTRING
  seg2:a88f  KERNEL.353       LSTRCPYN
  seg2:a8be  KERNEL.128       GETPRIVATEPROFILESTRING
  seg2:a95a  KERNEL.353       LSTRCPYN
  seg2:a98e  KERNEL.129       WRITEPRIVATEPROFILESTRING
  seg2:a9fe  KERNEL.129       WRITEPRIVATEPROFILESTRING
  seg2:aa5c  KERNEL.129       WRITEPRIVATEPROFILESTRING
  seg2:ab68  KERNEL.134       GETWINDOWSDIRECTORY
  seg2:ab7e  JUNGU01.12       MAKEFULLPATH
  seg2:ab8f  MMSYSTEM.1210    MMIOOPEN
  seg2:abb9  MMSYSTEM.1210    MMIOOPEN
  seg2:abcd  MMSYSTEM.1211    MMIOCLOSE
  seg2:abd6  MMSYSTEM.1211    MMIOCLOSE
  seg2:ad68  JUNGS01.61       S_060
  seg2:add6  JUNGS01.67       S_066
  seg2:b015  JUNGR01.8        RESGETTYPE
  seg2:b065  JUNGR01.8        RESGETTYPE
  seg2:b15a  JUNGS01.24       S_023
  seg2:b26b  JUNGS01.71       S_070
  seg2:b27e  JUNGS01.49       S_048
  seg2:b30a  JUNGS01.64       S_063
  seg2:b3f8  JUNGS01.55       S_054
  seg2:b455  JUNGS01.72       S_071
  seg2:b4ff  JUNGS01.45       S_044
  seg2:b561  JUNGS01.24       S_023
  seg2:b5c2  JUNGS01.42       S_041
  seg2:b5d4  JUNGS01.37       S_036
  seg2:b62a  KERNEL.353       LSTRCPYN
  seg2:b6ba  KERNEL.49        GETMODULEFILENAME
  seg2:b6c4  JUNGU01.15       SKIPPATH
  seg2:b6de  JUNGU01.14       GETPATHANDFILE
  seg2:b70a  JUNGU01.12       MAKEFULLPATH
  seg2:b714  JUNGU01.17       FILEEXIST
  seg2:b72a  JUNGU01.13       MAKEMODULEPATH
  seg2:b734  JUNGU01.17       FILEEXIST
  seg2:b744  JUNGU01.15       SKIPPATH
  seg2:b77b  JUNGR01.9        RESLOADNAMETABLE
  seg2:b7a0  JUNGU01.8        WINMALLOC
  seg2:b7bc  JUNGU01.11       WINFREE
  seg2:b800  JUNGU01.35       HUGESTRLEN
  seg2:b817  KERNEL.113       __AHSHIFT
  seg2:b84b  KERNEL.127       GETPRIVATEPROFILEINT
  seg2:b868  KERNEL.127       GETPRIVATEPROFILEINT
  seg2:b88f  JUNGU01.28       GETPROCESSORTYPE
  seg2:b8b0  USER.17          GETCURSORPOS
  seg2:b8be  USER.29          SCREENTOCLIENT
  seg2:b987  GDI.375          GETSYSTEMPALETTEENTRIES
  seg2:b9a6  JUNGR01.10       RESLOADPALETTE
  seg2:b9c9  JUNGS01.25       S_024
  seg2:b9d7  JUNGS01.38       S_037
  seg2:b9ec  JUNGS01.22       S_021
  seg2:b9f5  JUNGS01.31       S_030
  seg2:ba16  JUNGU01.12       MAKEFULLPATH
  seg2:ba21  JUNGU01.17       FILEEXIST
  seg2:ba37  JUNGU01.12       MAKEFULLPATH
  seg2:ba45  JUNGR01.12       RESOPENFILE
  seg2:ba7a  KERNEL.136       GETDRIVETYPE
  seg2:ba8a  JUNGR01.26       RESSETNOTIFY
  seg2:ba98  JUNGR01.3        RESCOUNTRESOURCES
  seg2:bac4  JUNGU01.8        WINMALLOC
  seg2:bb01  JUNGR01.22       RESGETTITLE
  seg2:bb16  KERNEL.88        LSTRCPY
  seg2:bb1f  JUNGR01.49       RESGETMAXFADECOLORS
  seg2:bb2b  JUNGR01.41       RESGETMAXTRANSCOLORS
  seg2:bb37  JUNGR01.47       RESGETBUILDTYPE
  seg2:bb4c  JUNGR01.40       RESGETLIBRARYNAME
  seg2:bb8c  JUNGU01.15       SKIPPATH
  seg2:bbb6  USER.471         LSTRCMPI
  seg2:bbf8  JUNGU01.10       WINREALLOC
  seg2:bc1f  JUNGU01.8        WINMALLOC
  seg2:bc66  JUNGR01.24       RESCOUNTSTRINGS
  seg2:bcb5  JUNGU01.8        WINMALLOC
  seg2:bcf2  KERNEL.88        LSTRCPY
  seg2:bd03  JUNGR01.20       RESENUMVARIABLES
  seg2:bd63  JUNGS01.53       S_052
  seg2:be16  JUNGR01.2        RESCLOSEFILE
  seg2:be61  JUNGR01.16       RESSETCALLBACK
  seg2:be8a  JUNGR01.16       RESSETCALLBACK
  seg2:bf28  JUNGA01.37       A_037
  seg2:bf3f  JUNGU01.15       SKIPPATH
  seg2:bf4e  JUNGS01.43       S_042
  seg2:bf5b  JUNGS01.57       S_056
  seg2:bf67  JUNGS01.62       S_061
  seg2:bf7b  JUNGS01.33       S_032
  seg2:bfa2  JUNGS01.32       S_031
  seg2:bfab  JUNGS01.48       S_047
  seg2:bfb4  JUNGA01.41       A_041
  seg2:bfc1  JUNGS01.62       S_061
  seg2:bfd7  JUNGU01.11       WINFREE
  seg2:bfee  JUNGA01.37       A_037
  seg2:c001  JUNGR01.2        RESCLOSEFILE
  seg2:c02c  JUNGS01.5        S_004
  seg2:c057  JUNGS01.33       S_032
  seg2:c077  MMSYSTEM.607     TIMEGETTIME
  seg2:c0d1  JUNGU01.15       SKIPPATH
  seg2:c0e7  JUNGS01.33       S_032
  seg2:c0ec  MMSYSTEM.607     TIMEGETTIME
  seg2:c107  JUNGS01.43       S_042
  seg2:c110  USER.49          ISWINDOWVISIBLE
  seg2:c121  USER.42          SHOWWINDOW
  seg2:c12a  USER.124         UPDATEWINDOW
  seg2:c14b  JUNGS01.33       S_032
  seg2:c1a6  JUNGA01.37       A_037
  seg2:c1bf  JUNGU01.11       WINFREE
  seg2:c1dc  JUNGU01.11       WINFREE
  seg2:c21f  JUNGU01.11       WINFREE
  seg2:c23e  JUNGU01.11       WINFREE
  seg2:c255  JUNGU01.11       WINFREE
  seg2:c26c  JUNGR01.2        RESCLOSEFILE
  seg2:c618  USER.110         POSTMESSAGE
  seg2:c8b6  JUNGR01.8        RESGETTYPE
  seg2:c90a  JUNGR01.8        RESGETTYPE
  seg2:c9f7  USER.110         POSTMESSAGE
  seg2:ca77  USER.110         POSTMESSAGE
  seg2:cc87  JUNGR01.8        RESGETTYPE
  seg2:cd6b  JUNGA01.23       A_023
  seg2:ceac  USER.70          SETCURSORPOS
  seg2:cfad  KERNEL.88        LSTRCPY
  seg2:d140  USER.471         LSTRCMPI
  seg2:d186  KERNEL.88        LSTRCPY
  seg2:d19a  GDI.57           CREATEFONTINDIRECT
  seg2:d1d3  KERNEL.88        LSTRCPY
  seg2:d223  GDI.69           DELETEOBJECT
  seg2:d3a9  USER.85          DRAWTEXT
  seg2:d3ff  GDI.51           CREATECOMPATIBLEBITMAP
  seg2:d416  JUNGS01.58       S_057
  seg2:d422  GDI.45           SELECTOBJECT
  seg2:d444  GDI.66           CREATESOLIDBRUSH
  seg2:d458  USER.81          FILLRECT
  seg2:d45e  GDI.69           DELETEOBJECT
  seg2:d46c  GDI.1            SETBKCOLOR
  seg2:d49c  GDI.9            SETTEXTCOLOR
  seg2:d4a8  GDI.2            SETBKMODE
  seg2:d4c4  USER.85          DRAWTEXT
  seg2:d4d5  GDI.45           SELECTOBJECT
  seg2:d4e9  USER.282         SELECTPALETTE
  seg2:d506  GDI.52           CREATECOMPATIBLEDC
  seg2:d524  GDI.45           SELECTOBJECT
  seg2:d589  JUNGU01.26       MAPBYTES
  seg2:d597  GDI.69           DELETEOBJECT
  seg2:d5a8  GDI.45           SELECTOBJECT
  seg2:d5b0  GDI.68           DELETEDC
  seg2:d5f4  JUNGS01.56       S_055
  seg2:d605  JUNGU01.11       WINFREE
  seg2:d673  KERNEL.5         LOCALALLOC
  seg2:d6cd  KERNEL.88        LSTRCPY
  seg2:d75f  JUNGU01.11       WINFREE
